
央视频道,#genre#



CCTV1,http://b.zgjok.com:35455/itv/5000000004000002226.m3u8?cdn=bestzb&Contentid=5000000004000002226
CCTV2,http://b.zgjok.com:35455/gaoma/cctv2.m3u8
CCTV3,http://b.zgjok.com:35455/gaoma/cctv3.m3u8
CCTV4,http://b.zgjok.com:35455/gaoma/cctv4.m3u8
CCTV5,http://b.zgjok.com:35455/gaoma/cctv5.m3u8
CCTV5+,http://b.zgjok.com:35455/gaoma/cctv5p.m3u8
CCTV6,http://b.zgjok.com:35455/gaoma/cctv6.m3u8
CCTV7,http://b.zgjok.com:35455/gaoma/cctv7.m3u8
CCTV8,http://b.zgjok.com:35455/gaoma/cctv8.m3u8
CCTV9,http://b.zgjok.com:35455/gaoma/cctv9.m3u8
CCTV10,http://b.zgjok.com:35455/gaoma/cctv10.m3u8
CCTV11,http://b.zgjok.com:35455/gaoma/cctv11.m3u8
CCTV12,http://b.zgjok.com:35455/gaoma/cctv12.m3u8
CCTV13,http://b.zgjok.com:35455/gaoma/cctv13.m3u8
CCTV14,http://b.zgjok.com:35455/gaoma/cctv14.m3u8
CCTV15,http://b.zgjok.com:35455/gaoma/cctv15.m3u8
CCTV16,http://b.zgjok.com:35455/gaoma/cctv16.m3u8
CCTV17,http://b.zgjok.com:35455/gaoma/cctv17.m3u8
CCTV4k,http://b.zgjok.com:35455/gaoma/cctv4k.m3u8

CCTV1,http://www.terrykang.xyz:35455/itv/6000000001000029752.m3u8?cdn=wasusyt&Contentid=6000000001000029752
CCTV1,http://www.terrykang.xyz:35455/itv/5000000004000002226.m3u8?cdn=bestzb&Contentid=5000000004000002226
CCTV1,http://www.terrykang.xyz:35455/itv/1000000005000265001.m3u8?cdn=ystenlive&Contentid=1000000005000265001
CCTV2,http://www.terrykang.xyz:35455/itv/1000000001000023315.m3u8?cdn=ystenlive&Contentid=1000000001000023315
CCTV2,http://www.terrykang.xyz:35455/itv/6000000001000014161.m3u8?cdn=wasusyt&Contentid=6000000001000014161
CCTV3,http://www.terrykang.xyz:35455/itv/6000000001000022313.m3u8?cdn=wasusyt&Contentid=6000000001000022313
CCTV3,http://www.terrykang.xyz:35455/itv/1000000005000265003.m3u8?cdn=ystenlive&Contentid=1000000005000265003
CCTV4,http://www.terrykang.xyz:35455/itv/5000000011000031102.m3u8?cdn=bestzb&Contentid=5000000011000031102
CCTV4,http://www.terrykang.xyz:35455/itv/1000000005000265004.m3u8?cdn=ystenlive&Contentid=1000000005000265004
CCTV5,http://www.terrykang.xyz:35455/itv/1000000005000025222.m3u8?cdn=ystenlive&Contentid=1000000005000025222
CCTV5,http://www.terrykang.xyz:35455/itv/1000000005000265005.m3u8?cdn=ystenlive&Contentid=1000000005000265005
CCTV5+,http://www.terrykang.xyz:35455/itv/6000000001000015875.m3u8?cdn=wasusyt&Contentid=6000000001000015875
CCTV5+,http://www.terrykang.xyz:35455/itv/1000000005000265016.m3u8?cdn=ystenlive&Contentid=1000000005000265016
CCTV6,http://www.terrykang.xyz:35455/itv/1000000001000001737.m3u8?cdn=ystenlive&Contentid=1000000001000001737
