4K频道,#genre#
4K60PSDR-H264-AAC测试,https://cdn.jsdelivr.net/gh/feiyangdigital/testvideo/sdr4kvideo/index.m3u8
4K60PHLG-HEVC-EAC3测试,https://cdn.jsdelivr.net/gh/feiyangdigital/testvideo/hlg4kvideo/index.m3u8
cctv16,http://10.0.0.26:35455/itv/5000000008000023254.m3u8?cdn=bestzb
cctv16,http://10.0.0.26:35455/gaoma/cctv4k16.m3u8
cctv4k,http://10.0.0.26:35455/gaoma/cctv4k.m3u8
北京IPTV4K,http://10.0.0.26:35455/bptv/10000100000000050000000003887500.m3u8
北京体育休闲,http://10.0.0.26:35455/bptv/10000100000000050000000004270525.m3u8
华数4K,http://10.0.0.26:35455/itv/6000000003000004748.m3u8?cdn=wasusyt
纯享4K,http://10.0.0.26:35455/itv/1000000004000011651.m3u8?cdn=ystenlive
咪咕4K,http://10.0.0.26:35455/itv/3000000010000005180.m3u8?cdn=FifastbLive
咪咕4K,http://10.0.0.26:35455/itv/3000000010000015686.m3u8?cdn=FifastbLive
LOVENATURE,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
LOUPE4K,https://d2dw21aq0j0l5c.cloudfront.net/playlist_3840x2160.m3u8
FASHIONONE,https://fash2043.cloudycdn.services/slive/ftv_ftv_4k_hevc_73d_42080_default_466_hls.smil/playlist.m3u8
SITV欢笑剧场,http://10.0.0.26:35455/itv/5000000007000010001.m3u8?cdn=bestzb

央视,#genre#
CCTV1,http://10.0.0.26:35455/gaoma/cctv1.m3u8
CCTV1,http://10.0.0.26:35455/itv/6000000001000029752.m3u8?cdn=wasusyt
cctv1,http://10.0.0.26:35455/itv/5000000004000002226.m3u8?cdn=bestzb
CCTV1,http://10.0.0.26:35455/itv/1000000005000265001.m3u8?cdn=ystenlive
cctv2,http://10.0.0.26:35455/gaoma/cctv2.m3u8
cctv2,http://10.0.0.26:35455/itv/1000000001000023315.m3u8?cdn=ystenlive
CCTV2,http://10.0.0.26:35455/itv/6000000001000014161.m3u8?cdn=wasusyt
cctv2,http://10.0.0.26:35455/itv/1000000001000023315.m3u8?cdn=ystenlive
cctv3,http://10.0.0.26:35455/gaoma/cctv3.m3u8
cctv3,http://10.0.0.26:35455/itv/6000000001000022313.m3u8?cdn=wasusyt
cctv3,http://10.0.0.26:35455/itv/1000000005000265003.m3u8?cdn=ystenlive
cctv4,http://10.0.0.26:35455/gaoma/cctv4.m3u8
CCTV4,http://10.0.0.26:35455/itv/5000000011000031102.m3u8?cdn=bestzb
cctv4,http://10.0.0.26:35455/itv/1000000005000265004.m3u8?cdn=ystenlive
cctv5,http://10.0.0.26:35455/gaoma/cctv5.m3u8
cctv5,http://10.0.0.26:35455/itv/1000000005000025222.m3u8?cdn=ystenlive
cctv5,http://10.0.0.26:35455/itv/1000000005000265005.m3u8?cdn=ystenlive
cctv5+,http://10.0.0.26:35455/gaoma/cctv5p.m3u8
cctv5+,http://10.0.0.26:35455/itv/6000000001000015875.m3u8?cdn=wasusyt
cctv5+,http://10.0.0.26:35455/itv/1000000005000265016.m3u8?cdn=ystenlive
cctv6,http://10.0.0.26:35455/itv/1000000001000001737.m3u8?cdn=ystenlive
CCTV6,http://10.0.0.26:35455/itv/6000000001000004574.m3u8?cdn=wasusyt
cctv6,http://10.0.0.26:35455/itv/1000000005000265006.m3u8?cdn=ystenlive
CCTV7,http://10.0.0.26:35455/gaoma/cctv7.m3u8
CCTV7,http://10.0.0.26:35455/itv/1000000001000024341.m3u8?cdn=ystenlive
